순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
29,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,3,9.78897E+12,4810,813.6,978,2002
30,商道,최인호 지음,여백미디어,2001,5,9.78899E+12,4810,813.6,919,2002
31,똥벼락,김회경 글;조혜란 그림,사계절출판사,2001,,9.78897E+12,77850,813.6,901,2002
32,누가 내 치즈를 옮겼을까?,저자: 스펜서 존슨;번역: 이영진,진명출판사,2006,,9.78898E+12,3840,181.93,886,2002
33,商道,최인호 지음,여백미디어,2001,4,9.78899E+12,4810,813.6,879,2002
34,브리짓 존스의 일기,헬렌 필딩 지음;임지현 옮김,문학사상사,1999,,9.78897E+12,3840,843,876,2002
35,괭이부리말 아이들,김중미 지음;송진헌 그림,창작과비평사,2002,,9.78894E+12,3810,813.6,875,2002
36,모순:양귀자 장편소설,양귀자 지음,살림출판사,1998,,9.78899E+12,3810,813.6,872,2002
37,사냥꾼을 만난 꼬마곰 ,앤서니 브라운 글·그림 ;공경희 옮김,웅진씽크빅,2015,,9.7889E+12,74840,843,867,2002
38,그 산이 정말 거기 있었을까:박완서 장편소설,박완서 지음,웅진출판,1996,,9.7889E+12,3810,813.6,864,2002
39,商道,최인호 지음,여백미디어,2001,3,9.78899E+12,4810,813.6,861,2002
40,부자 아빠 가난한 아빠:부자들이 들려주는 돈과 투자의 비밀,로버트 기요사키;형선호 옮김,황금가지,2000,,9.78898E+12,3320,327.83,855,2002
41,(만화로 배우고 퍼즐로 익히는) 어린이 한자사전 ,지은이: 송명호,대교출판,1998,,9.78894E+12,64720,711.4,842,2002
42,수수밭으로 오세요:공선옥 장편소설,공선옥 지음,여성신문사,2001,,9.78899E+12,3810,813.6,837,2002
43,(공지영 장편소설)고등어,공지영 지음,웅진출판,1994,,9.7889E+12,33810,813.6,826,2002
44,"줄리어스, 어디 있니? ",글·그림: 존 버닝햄 ;옮김: 김정희,현북스,2013,,9.789E+12,77840,843,825,2002
45,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,4,9.78897E+12,4810,813.6,811,2002
46,(이윤기의)그리스 로마신화:신화를 이해하는 12가지 열쇠,이윤기 지음,웅진닷컴,2000,,9.7889E+12,3210,219.2,804,2002
47,(신경숙 소설집)딸기밭,신경숙 지음,문학과 지성사,2000,,9.78893E+12,3810,813.6,803,2002
47,너무도 쓸쓸한 당신,박완서 지음,창작과 비평사,1998,,9.78894E+12,3810,813.6,803,2002
49,창가의 토토,구로야나기 테츠코 글;김난주 옮김,프로메테우스 출판사,2000,,9.789E+12,3830,833.6,799,2002
50,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,6,9.78897E+12,4810,813.6,788,2002
51,거울,원성 글·그림,이레,2001,,9.78899E+12,3810,814.6,775,2002
52,"말할 수 있는 중국어, 들을 수 있는 중국어:생활회화",류기수 지음,백산서당,1997,,9.78897E+12,3720,727.5,763,2002
53,(신경숙 장편소설)기차는 7시에 떠나네,신경숙 지음,문학과 지성사,1999,,9.78893E+12,3810,813.6,762,2002
54,그림 읽어주는 여자,한젬마 지음,명진출판,1999,,9.78898E+12,3810,818,757,2002
55,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,5,9.78897E+12,4810,813.6,755,2002
56,이삭이와 콩점이 :신나고 재미있는 이야기 보따리 ,선안나 글 ;문영미 그림,동아출판사,1993,,9.7889E+12,73810,813.7,750,2002
57,외등,박범신 지음,이룸,2001,,9.78899E+12,3810,813.6,749,2002
58,상실의 시대 ,무라카미 하루키 지음 ;유유정 옮김,문학사상사,1999,,9.78897E+12,3830,833.6,745,2002
59,商道,최인호 지음,여백미디어,2001,2,9.78899E+12,4810,813.6,743,2002
60,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2012,,9.78899E+12,77810,813.6,736,2002
61,어머니:김정현 장편소설,김정현 지음,문이당,2001,,9.78897E+12,3810,813.6,734,2002
62,조선사 인물여행,조동림 엮음,신서출판사,1997,,9.78897E+12,3900,911.05,733,2002
63,마지막 춤은 나와 함께:은희경 장편소설,은희경 지음,문학동네,1998,,9.78898E+12,3810,813.6,730,2002
63,여자는 두번 울지 않는다,시드니 셀던 지음;정성호 옮김,북@북스,2000,,9.78899E+12,3840,843,730,2002
65,나이듦에 대하여:여성학자 박혜란 생각모음,박혜란 지음,웅진닷컴,2002,,9.7889E+12,23810,814.6,727,2002
66,"바람의 딸, 우리 땅에 서다",한비야 지음,푸른숲,1999,,9.78897E+12,3810,816.6,723,2002
67,모랫말 아이들,황석영 글;김세현 그림,문학동네,2001,,9.78898E+12,3810,813.8,719,2002
68,황태자비 납치사건:김진명 장편소설,김진명 지음,해냄,2001,2,9.78897E+12,3810,813.6,715,2002
69,환상특급체험 - 눈으로 즐기는 착시마법의 놀라운 세계 38가지,아이매직연구회,두산동아,1999,,9.7889E+12,73690,,713,2002
70,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,7,9.78897E+12,4810,813.6,711,2002
71,신경림의 시인을 찾아서 :정지용에서 천상병까지 ,지은이: 신경림,우리교육,1998,,9.78898E+12,3810,811.609,696,2002
72,언제까지나 너를 사랑해,로버트 먼치 글;김숙 옮김,북뱅크,2000,,9.789E+12,77840,843,692,2002
73,모리와 함께한 화요일 ,미치 앨봄 지음 ;공경희 옮김,세종서적,2001,,9.78899E+12,3840,844,691,2002
74,황태자비 납치사건:김진명 장편소설,김진명 지음,해냄,2001,1,9.78897E+12,3810,813.6,686,2002
75,미국사,장길수 글;편무옥 그림,한국어린이교육연구원,2001,,9.78898E+12,77940,942,685,2002
